Country,Year,total_deaths,conflict_events,Conflict,prev_conflict,prev_year_deaths,rolling_conflict_3yr,rolling_deaths_3yr,event_change,conflict_streak,Future_Conflict,Conflict_Probability,Risk_Level,Articles_Fetched,Raw_Score,Matched_Keywords,Top_Article_1,Top_Article_2,Top_Article_3,Top_Article_4,Top_Article_5,Source_1,Source_2,Source_3,URL_1,URL_2,URL_3,News_Risk_Score,Live_Risk_Level,GeoRisk_Live_Score,Dynamic_Risk_Level,Emerging_Threat
Afghanistan,2023,360,176,1,1.0,1574.0,1.0,19598.0,-240.0,35,1,0.9822769901660368,Critical,21.0,104.0,"{'violence': 1, 'sanctions': 2, 'war': 4, 'attack': 1, 'border': 1, 'military': 3, 'crisis': 1}",The 10 countries with the highest birth rates — and the 10 with the lowest,Selling Children to Survive: Afghan Fathers Forced to Make Impossible Choices,37 Amazing Photos From the Set of the Film “The Man Who Would Be King” (1975),Graham Platner cruelly mocked a US soldier who nearly died protecting squad: ‘Stupid motherf—er didn’t deserve to live’,Left-wing Dem Senate hopeful cheered on Antifa violence in unearthed rant: ‘Kill a motherf---er’,Business Insider,Freerepublic.com,Vintag.es,https://www.businessinsider.com/countries-birth-rates-ranked,https://freerepublic.com/focus/f-news/4380179/posts,https://www.vintag.es/2026/05/the-man-who-would-be-king.html,0.9454545454545454,Critical,0.9712302567525892,Critical,False
Iran,2023,43,13,1,1.0,251.0,1.0,193.0,-145.0,9,1,0.9573436763606042,Critical,24.0,110.0,"{'military': 2, 'war': 7, 'attack': 3}",Gateway of India boats to go electric in phased shift,What's happening between U.S. and Cuba? Here's a timeline of recent tensions,HC awards Rs 10L to bizman jailed after condiments flagged as heroin at airport,Memory makers brace for hydrogen fluoride pricing shock as Hormuz blockade impacts supply chain — key etching and cleaning material faces sharp cost increase amid trade disruption,Cuba’s President Warns There Will Be a “Bloodbath” If the US Attacks Cuba.,The Times of India,PBS,The Times of India,https://timesofindia.indiatimes.com/city/mumbai/gateway-of-india-boats-to-go-electric-in-phased-shift/articleshow/131231879.cms,https://www.pbs.org/newshour/world/whats-happening-between-u-s-and-cuba-heres-a-timeline-of-recent-tensions,https://timesofindia.indiatimes.com/city/bhopal/hc-awards-rs-10l-to-bizman-jailed-after-condiments-flagged-as-heroin-at-airport/articleshow/131231835.cms,1.0,Critical,0.9701405734524229,Critical,False
Ukraine,2023,75393,10181,1,1.0,92615.0,1.0,31006.33333333333,2752.0,10,1,0.9971760605602504,Critical,23.0,87.0,"{'war': 4, 'military': 1, 'attack': 1, 'sanctions': 1, 'conflict': 1, 'invasion': 1, 'troops': 1}",The 10 countries with the highest birth rates — and the 10 with the lowest,Cuba’s President Warns There Will Be a “Bloodbath” If the US Attacks Cuba.,"UK Eases Sanctions Regime on Russia, Allowing Jet Fuel Imports, While Shunning Domestic Drilling",We call on all parties to conflict to protect civilians: UK statement at the UN Security Council,"How 8,000 robots are changing work inside logistics giant DHL Supply Chain",Business Insider,Thoughtcatalog.com,Breitbart News,https://www.businessinsider.com/countries-birth-rates-ranked,https://thoughtcatalog.com/chris-lavergne/2026/05/cubas-president-warns-there-will-be-a-bloodbath-if-the-us-attacks-cuba/,https://www.breitbart.com/europe/2026/05/20/energy-crisis-uk-eases-sanctions-on-russia-but-shuns-domestic-drilling/,0.7909090909090909,Critical,0.9352959696649026,Critical,False
Syria,2023,2187,1006,1,1.0,1671.0,1.0,3103.0,213.0,13,1,0.994767249760166,Critical,25.0,81.0,"{'war': 3, 'conflict': 1, 'attack': 3, 'military': 1, 'sanctions': 1, 'inflation': 1}","Russian fighter jets flew so close to a British spy plane that they disabled its autopilot, UK says",The battle of perception: From Israel’s Fauda to Hezbollah’s FPV footage,Irrelevant Europe - Europe is the ‘jungle’ now. No garden left to speak of.,"Quality of pharmacy services and adherence to good pharmacy practice at points of sale in Punjab, Pakistan: A cross-sectional study",Trump is waging a silent war on legal immigration,Business Insider,Al Jazeera English,Freerepublic.com,https://www.businessinsider.com/russian-jets-flew-close-british-spy-plane-disabled-autopilot-uk-2026-5,https://www.aljazeera.com/features/2026/5/20/the-battle-of-perception-from-israels-fauda-to-hezbollahs-fpv-footage,https://freerepublic.com/focus/f-chat/4380158/posts,0.7363636363636363,High,0.917246165741207,Critical,False
Israel,2023,27434,1200,1,1.0,98.0,0.6666666666666666,128.66666666666666,1155.0,3,1,0.9656158530694464,Critical,24.0,64.0,"{'war': 4, 'military': 1, 'attack': 2}","Bradley Foundation President And Prize Winners Talk Faith, Family And Freedom",Calls for winners of University of Galway's alumni awards to boycott event over links to Israel,"Barclays Raises PT on JFrog (FROG) From $70 To $75, Reiterates “Overweight” Rating",State Department settles lawsuit over $1.5B sent by Biden admin to Palestinian Authority,Trump is the Republican party,The Daily Caller,TheJournal.ie,Yahoo Entertainment,https://dailycaller.com/2026/05/20/bradley-foundation-prize-phil-gramm-meir-soloveichik-james-hankins-richard-graber/,https://www.thejournal.ie/calls-for-winners-of-university-of-galways-alumni-awards-to-boycott-event-over-links-to-israel-7045854-May2026/,https://finance.yahoo.com/markets/stocks/articles/barclays-raises-pt-jfrog-frog-170802468.html,0.5818181818181818,High,0.850476551694067,Critical,False
India,2023,406,217,1,1.0,393.0,1.0,556.0,-49.0,35,1,0.9855426088667556,Critical,25.0,40.0,{'war': 4},Gateway of India boats to go electric in phased shift,Hexaware Acquires Consulting Professionals Services to Strengthen AI and Cloud Transformation Capabilities,Hexaware Acquires Consulting Professionals Services to Strengthen AI and Cloud Transformation Capabilities,How to read postcolonial writing,"Bajaj General Insurance rolls out riders to lock premiums, expand health cover scope",The Times of India,PR Newswire UK,PRNewswire,https://timesofindia.indiatimes.com/city/mumbai/gateway-of-india-boats-to-go-electric-in-phased-shift/articleshow/131231879.cms,https://www.prnewswire.co.uk/news-releases/hexaware-acquires-consulting-professionals-services-to-strengthen-ai-and-cloud-transformation-capabilities-302778005.html,https://www.prnewswire.com/news-releases/hexaware-acquires-consulting-professionals-services-to-strengthen-ai-and-cloud-transformation-capabilities-302778003.html,0.3636363636363636,Medium,0.7989707352976378,Critical,False
Pakistan,2023,1178,382,1,1.0,719.0,1.0,526.6666666666666,98.0,35,1,0.9948103201801624,Critical,24.0,33.0,"{'war': 2, 'attack': 1, 'protest': 1}",Gateway of India boats to go electric in phased shift,HC awards Rs 10L to bizman jailed after condiments flagged as heroin at airport,"Jharkhand Minister Orders Debarment of Delayed Road Contractors, Focus on Quality",2 NCP (SP) corporators join BJP in Sangli,Jessica Pegula fires back after Buffalo Sabres controversy sparks brutal rich spoiled brat attack online,The Times of India,The Times of India,The Times of India,https://timesofindia.indiatimes.com/city/mumbai/gateway-of-india-boats-to-go-electric-in-phased-shift/articleshow/131231879.cms,https://timesofindia.indiatimes.com/city/bhopal/hc-awards-rs-10l-to-bizman-jailed-after-condiments-flagged-as-heroin-at-airport/articleshow/131231835.cms,https://timesofindia.indiatimes.com/city/ranchi/jharkhand-minister-orders-debarment-of-delayed-road-contractors-focus-on-quality/articleshow/131231673.cms,0.3,Medium,0.7863672241261136,Critical,False
Mexico,2023,10899,2748,1,1.0,12555.0,1.0,13701.666666666666,569.0,20,1,0.9988541945958044,Critical,,,,,,,,,,,,,,,0.0,,0.699197936217063,High,False
Myanmar (Burma),2023,3065,2085,1,1.0,2761.0,1.0,1583.0,536.0,35,1,0.9984625086984112,Critical,,,,,,,,,,,,,,,0.0,,0.6989237560888878,High,False
Nigeria,2023,3971,626,1,1.0,2917.0,1.0,3055.6666666666665,155.0,28,1,0.9984148620476314,Critical,,,,,,,,,,,,,,,0.0,,0.698890403433342,High,False
