Country,GeoRisk_Live_Score,Dynamic_Risk_Level,Affected_Sectors,Market_Impact,Investor_Alert
Afghanistan,0.971,Critical,Regional Markets,Severe,Afghanistan shows Critical geopolitical risk. Potential exposure detected in: Regional Markets.
Iran,0.97,Critical,"Oil, Energy, Shipping",Severe,"Iran shows Critical geopolitical risk. Potential exposure detected in: Oil, Energy, Shipping."
Ukraine,0.935,Critical,"Agriculture, Food Supply, Grain Exports",Severe,"Ukraine shows Critical geopolitical risk. Potential exposure detected in: Agriculture, Food Supply, Grain Exports."
Syria,0.917,Critical,Regional Markets,Severe,Syria shows Critical geopolitical risk. Potential exposure detected in: Regional Markets.
Israel,0.85,Critical,"Cybersecurity, Defense Technology",Severe,"Israel shows Critical geopolitical risk. Potential exposure detected in: Cybersecurity, Defense Technology."
India,0.799,Critical,"IT Services, Manufacturing, Energy",Severe,"India shows Critical geopolitical risk. Potential exposure detected in: IT Services, Manufacturing, Energy."
Pakistan,0.786,Critical,Regional Markets,Severe,Pakistan shows Critical geopolitical risk. Potential exposure detected in: Regional Markets.
Mexico,0.699,High,Regional Markets,High,Mexico shows High geopolitical risk. Potential exposure detected in: Regional Markets.
Myanmar (Burma),0.699,High,Regional Markets,High,Myanmar (Burma) shows High geopolitical risk. Potential exposure detected in: Regional Markets.
Nigeria,0.699,High,Regional Markets,High,Nigeria shows High geopolitical risk. Potential exposure detected in: Regional Markets.
Colombia,0.698,High,Regional Markets,High,Colombia shows High geopolitical risk. Potential exposure detected in: Regional Markets.
Sudan,0.698,High,Regional Markets,High,Sudan shows High geopolitical risk. Potential exposure detected in: Regional Markets.
Brazil,0.698,High,Regional Markets,High,Brazil shows High geopolitical risk. Potential exposure detected in: Regional Markets.
Cameroon,0.698,High,Regional Markets,High,Cameroon shows High geopolitical risk. Potential exposure detected in: Regional Markets.
Burkina Faso,0.698,High,Regional Markets,High,Burkina Faso shows High geopolitical risk. Potential exposure detected in: Regional Markets.
Niger,0.697,High,Regional Markets,High,Niger shows High geopolitical risk. Potential exposure detected in: Regional Markets.
Kenya,0.695,High,Regional Markets,High,Kenya shows High geopolitical risk. Potential exposure detected in: Regional Markets.
Ethiopia,0.694,High,Regional Markets,High,Ethiopia shows High geopolitical risk. Potential exposure detected in: Regional Markets.
Somalia,0.694,High,Regional Markets,High,Somalia shows High geopolitical risk. Potential exposure detected in: Regional Markets.
Yemen (North Yemen),0.693,High,Regional Markets,High,Yemen (North Yemen) shows High geopolitical risk. Potential exposure detected in: Regional Markets.
DR Congo (Zaire),0.692,High,Regional Markets,High,DR Congo (Zaire) shows High geopolitical risk. Potential exposure detected in: Regional Markets.
Central African Republic,0.691,High,Regional Markets,High,Central African Republic shows High geopolitical risk. Potential exposure detected in: Regional Markets.
Mali,0.69,High,Regional Markets,High,Mali shows High geopolitical risk. Potential exposure detected in: Regional Markets.
Mozambique,0.689,High,Regional Markets,High,Mozambique shows High geopolitical risk. Potential exposure detected in: Regional Markets.
Chad,0.689,High,Regional Markets,High,Chad shows High geopolitical risk. Potential exposure detected in: Regional Markets.
Iraq,0.688,High,Regional Markets,High,Iraq shows High geopolitical risk. Potential exposure detected in: Regional Markets.
South Sudan,0.687,High,Regional Markets,High,South Sudan shows High geopolitical risk. Potential exposure detected in: Regional Markets.
Philippines,0.684,High,Regional Markets,High,Philippines shows High geopolitical risk. Potential exposure detected in: Regional Markets.
Ecuador,0.68,High,Regional Markets,High,Ecuador shows High geopolitical risk. Potential exposure detected in: Regional Markets.
Turkey,0.68,High,Regional Markets,High,Turkey shows High geopolitical risk. Potential exposure detected in: Regional Markets.
Indonesia,0.675,High,Regional Markets,High,Indonesia shows High geopolitical risk. Potential exposure detected in: Regional Markets.
Russia (Soviet Union),0.674,High,Regional Markets,High,Russia (Soviet Union) shows High geopolitical risk. Potential exposure detected in: Regional Markets.
Haiti,0.669,High,Regional Markets,High,Haiti shows High geopolitical risk. Potential exposure detected in: Regional Markets.
Azerbaijan,0.66,High,Regional Markets,High,Azerbaijan shows High geopolitical risk. Potential exposure detected in: Regional Markets.
Togo,0.602,High,Regional Markets,High,Togo shows High geopolitical risk. Potential exposure detected in: Regional Markets.
Benin,0.588,High,Regional Markets,High,Benin shows High geopolitical risk. Potential exposure detected in: Regional Markets.
Lebanon,0.578,High,Regional Markets,High,Lebanon shows High geopolitical risk. Potential exposure detected in: Regional Markets.
Thailand,0.563,High,Regional Markets,High,Thailand shows High geopolitical risk. Potential exposure detected in: Regional Markets.
Burundi,0.556,High,Regional Markets,High,Burundi shows High geopolitical risk. Potential exposure detected in: Regional Markets.
Bangladesh,0.489,Medium,Regional Markets,Moderate,Bangladesh shows Medium geopolitical risk. Potential exposure detected in: Regional Markets.
Honduras,0.435,Medium,Regional Markets,Moderate,Honduras shows Medium geopolitical risk. Potential exposure detected in: Regional Markets.
Ghana,0.418,Medium,Regional Markets,Moderate,Ghana shows Medium geopolitical risk. Potential exposure detected in: Regional Markets.
Kyrgyzstan,0.399,Medium,Regional Markets,Moderate,Kyrgyzstan shows Medium geopolitical risk. Potential exposure detected in: Regional Markets.
Papua New Guinea,0.37,Medium,Regional Markets,Moderate,Papua New Guinea shows Medium geopolitical risk. Potential exposure detected in: Regional Markets.
France,0.37,Medium,Regional Markets,Moderate,France shows Medium geopolitical risk. Potential exposure detected in: Regional Markets.
Angola,0.366,Medium,Regional Markets,Moderate,Angola shows Medium geopolitical risk. Potential exposure detected in: Regional Markets.
Venezuela,0.34,Medium,Regional Markets,Moderate,Venezuela shows Medium geopolitical risk. Potential exposure detected in: Regional Markets.
Uganda,0.314,Medium,Regional Markets,Moderate,Uganda shows Medium geopolitical risk. Potential exposure detected in: Regional Markets.
Saudi Arabia,0.282,Medium,Regional Markets,Moderate,Saudi Arabia shows Medium geopolitical risk. Potential exposure detected in: Regional Markets.
Peru,0.263,Medium,Regional Markets,Moderate,Peru shows Medium geopolitical risk. Potential exposure detected in: Regional Markets.
Egypt,0.246,Low,Regional Markets,Low,Egypt shows Low geopolitical risk. Potential exposure detected in: Regional Markets.
China,0.245,Low,"Manufacturing, Supply Chains, Technology",Low,"China shows Low geopolitical risk. Potential exposure detected in: Manufacturing, Supply Chains, Technology."
Guatemala,0.221,Low,Regional Markets,Low,Guatemala shows Low geopolitical risk. Potential exposure detected in: Regional Markets.
Algeria,0.209,Low,Regional Markets,Low,Algeria shows Low geopolitical risk. Potential exposure detected in: Regional Markets.
Morocco,0.187,Low,Regional Markets,Low,Morocco shows Low geopolitical risk. Potential exposure detected in: Regional Markets.
Tunisia,0.182,Low,Regional Markets,Low,Tunisia shows Low geopolitical risk. Potential exposure detected in: Regional Markets.
Poland,0.169,Low,Regional Markets,Low,Poland shows Low geopolitical risk. Potential exposure detected in: Regional Markets.
Kingdom of eSwatini (Swaziland),0.16,Low,Regional Markets,Low,Kingdom of eSwatini (Swaziland) shows Low geopolitical risk. Potential exposure detected in: Regional Markets.
Armenia,0.155,Low,Regional Markets,Low,Armenia shows Low geopolitical risk. Potential exposure detected in: Regional Markets.
Nepal,0.145,Low,Regional Markets,Low,Nepal shows Low geopolitical risk. Potential exposure detected in: Regional Markets.
United States of America,0.145,Low,Regional Markets,Low,United States of America shows Low geopolitical risk. Potential exposure detected in: Regional Markets.
Madagascar (Malagasy),0.144,Low,Regional Markets,Low,Madagascar (Malagasy) shows Low geopolitical risk. Potential exposure detected in: Regional Markets.
Georgia,0.141,Low,Regional Markets,Low,Georgia shows Low geopolitical risk. Potential exposure detected in: Regional Markets.
Belgium,0.141,Low,Regional Markets,Low,Belgium shows Low geopolitical risk. Potential exposure detected in: Regional Markets.
Spain,0.141,Low,Regional Markets,Low,Spain shows Low geopolitical risk. Potential exposure detected in: Regional Markets.
Paraguay,0.141,Low,Regional Markets,Low,Paraguay shows Low geopolitical risk. Potential exposure detected in: Regional Markets.
Ivory Coast,0.135,Low,Regional Markets,Low,Ivory Coast shows Low geopolitical risk. Potential exposure detected in: Regional Markets.
Djibouti,0.135,Low,Regional Markets,Low,Djibouti shows Low geopolitical risk. Potential exposure detected in: Regional Markets.
Austria,0.134,Low,Regional Markets,Low,Austria shows Low geopolitical risk. Potential exposure detected in: Regional Markets.
Mauritania,0.131,Low,Regional Markets,Low,Mauritania shows Low geopolitical risk. Potential exposure detected in: Regional Markets.
Libya,0.109,Low,Regional Markets,Low,Libya shows Low geopolitical risk. Potential exposure detected in: Regional Markets.
Rwanda,0.109,Low,Regional Markets,Low,Rwanda shows Low geopolitical risk. Potential exposure detected in: Regional Markets.
United Arab Emirates,0.109,Low,Regional Markets,Low,United Arab Emirates shows Low geopolitical risk. Potential exposure detected in: Regional Markets.
Bolivia,0.105,Low,Regional Markets,Low,Bolivia shows Low geopolitical risk. Potential exposure detected in: Regional Markets.
South Africa,0.097,Low,Regional Markets,Low,South Africa shows Low geopolitical risk. Potential exposure detected in: Regional Markets.
Tajikistan,0.093,Low,Regional Markets,Low,Tajikistan shows Low geopolitical risk. Potential exposure detected in: Regional Markets.
Liberia,0.08,Low,Regional Markets,Low,Liberia shows Low geopolitical risk. Potential exposure detected in: Regional Markets.
