Country,Articles_Fetched,Raw_Score,Matched_Keywords,Top_Article_1,Top_Article_2,Top_Article_3,Top_Article_4,Top_Article_5,Source_1,Source_2,Source_3,URL_1,URL_2,URL_3,News_Risk_Score,Live_Risk_Level
Russia,24,95,"{'war': 3, 'military': 2, 'attack': 1, 'sanctions': 1, 'conflict': 1, 'nuclear': 1, 'invasion': 1, 'troops': 1}",Cuba’s President Warns There Will Be a “Bloodbath” If the US Attacks Cuba.,"UK Eases Sanctions Regime on Russia, Allowing Jet Fuel Imports, While Shunning Domestic Drilling",We call on all parties to conflict to protect civilians: UK statement at the UN Security Council,"How 8,000 robots are changing work inside logistics giant DHL Supply Chain","Russia, China Reach Agreement to Accelerate Implementation of Power of Siberia 2 - Novak",Thoughtcatalog.com,Breitbart News,Www.gov.uk,https://thoughtcatalog.com/chris-lavergne/2026/05/cubas-president-warns-there-will-be-a-bloodbath-if-the-us-attacks-cuba/,https://www.breitbart.com/europe/2026/05/20/energy-crisis-uk-eases-sanctions-on-russia-but-shuns-domestic-drilling/,https://www.gov.uk/government/speeches/we-call-on-all-parties-to-conflict-to-protect-civilians-uk-statement-at-the-un-security-council,0.8636363636363636,Critical
Ukraine,23,87,"{'war': 4, 'military': 1, 'attack': 1, 'sanctions': 1, 'conflict': 1, 'invasion': 1, 'troops': 1}",The 10 countries with the highest birth rates — and the 10 with the lowest,Cuba’s President Warns There Will Be a “Bloodbath” If the US Attacks Cuba.,"UK Eases Sanctions Regime on Russia, Allowing Jet Fuel Imports, While Shunning Domestic Drilling",We call on all parties to conflict to protect civilians: UK statement at the UN Security Council,"How 8,000 robots are changing work inside logistics giant DHL Supply Chain",Business Insider,Thoughtcatalog.com,Breitbart News,https://www.businessinsider.com/countries-birth-rates-ranked,https://thoughtcatalog.com/chris-lavergne/2026/05/cubas-president-warns-there-will-be-a-bloodbath-if-the-us-attacks-cuba/,https://www.breitbart.com/europe/2026/05/20/energy-crisis-uk-eases-sanctions-on-russia-but-shuns-domestic-drilling/,0.7909090909090909,Critical
Iran,24,110,"{'military': 2, 'war': 7, 'attack': 3}",Gateway of India boats to go electric in phased shift,What's happening between U.S. and Cuba? Here's a timeline of recent tensions,HC awards Rs 10L to bizman jailed after condiments flagged as heroin at airport,Memory makers brace for hydrogen fluoride pricing shock as Hormuz blockade impacts supply chain — key etching and cleaning material faces sharp cost increase amid trade disruption,Cuba’s President Warns There Will Be a “Bloodbath” If the US Attacks Cuba.,The Times of India,PBS,The Times of India,https://timesofindia.indiatimes.com/city/mumbai/gateway-of-india-boats-to-go-electric-in-phased-shift/articleshow/131231879.cms,https://www.pbs.org/newshour/world/whats-happening-between-u-s-and-cuba-heres-a-timeline-of-recent-tensions,https://timesofindia.indiatimes.com/city/bhopal/hc-awards-rs-10l-to-bizman-jailed-after-condiments-flagged-as-heroin-at-airport/articleshow/131231835.cms,1.0,Critical
Israel,24,64,"{'war': 4, 'military': 1, 'attack': 2}","Bradley Foundation President And Prize Winners Talk Faith, Family And Freedom",Calls for winners of University of Galway's alumni awards to boycott event over links to Israel,"Barclays Raises PT on JFrog (FROG) From $70 To $75, Reiterates “Overweight” Rating",State Department settles lawsuit over $1.5B sent by Biden admin to Palestinian Authority,Trump is the Republican party,The Daily Caller,TheJournal.ie,Yahoo Entertainment,https://dailycaller.com/2026/05/20/bradley-foundation-prize-phil-gramm-meir-soloveichik-james-hankins-richard-graber/,https://www.thejournal.ie/calls-for-winners-of-university-of-galways-alumni-awards-to-boycott-event-over-links-to-israel-7045854-May2026/,https://finance.yahoo.com/markets/stocks/articles/barclays-raises-pt-jfrog-frog-170802468.html,0.5818181818181818,High
China,25,38,"{'war': 3, 'attack': 1}",Gateway of India boats to go electric in phased shift,HC awards Rs 10L to bizman jailed after condiments flagged as heroin at airport,The 10 countries with the highest birth rates — and the 10 with the lowest,Memory makers brace for hydrogen fluoride pricing shock as Hormuz blockade impacts supply chain — key etching and cleaning material faces sharp cost increase amid trade disruption,Middle Tennessee State U. Graduates Boo Music Executive Who Discovered Taylor Swift for Praising AI,The Times of India,The Times of India,Business Insider,https://timesofindia.indiatimes.com/city/mumbai/gateway-of-india-boats-to-go-electric-in-phased-shift/articleshow/131231879.cms,https://timesofindia.indiatimes.com/city/bhopal/hc-awards-rs-10l-to-bizman-jailed-after-condiments-flagged-as-heroin-at-airport/articleshow/131231835.cms,https://www.businessinsider.com/countries-birth-rates-ranked,0.34545454545454546,Medium
Taiwan,25,40,{'war': 4},The 10 countries with the highest birth rates — and the 10 with the lowest,Memory makers brace for hydrogen fluoride pricing shock as Hormuz blockade impacts supply chain — key etching and cleaning material faces sharp cost increase amid trade disruption,Apple Watch Ultra 4 To Get Design Overhaul,Trump to speak with Taiwan's president in a new challenge for US-China relations,What Actually Caused the Latest Submarine Cut Near Taiwan?,Business Insider,Tom's Hardware UK,iLounge,https://www.businessinsider.com/countries-birth-rates-ranked,https://www.tomshardware.com/tech-industry/memory-makers-brace-for-hydrogen-fluoride-pricing-shock-as-hormuz-blockade-impacts-supply-chain-key-etching-and-cleaning-material-faces-sharp-cost-increase-amid-trade-disruption,https://www.ilounge.com/news/apple-watch/apple-watch-ultra-4-to-get-design-overhaul,0.36363636363636365,Medium
North Korea,23,77,"{'war': 3, 'invasion': 1, 'troops': 1, 'border': 3, 'nuclear': 1, 'political tension': 1}","China secretly trained Russian troops, and some have since fought in Ukraine",Trump’s Iran War: America Loss Is China’s Win,Could a football match soften North Korea-South Korea relations?,MARK LEVIN: Deal or no deal?,Electric Wheelchair Market to Reach USD 13.1 Billion by 2035 as Smart Mobility Technologies Accelerate Global Adoption – SNS Insider,Boing Boing,The Atlantic,BBC News,https://boingboing.net/2026/05/20/china-secretly-trained-russian-troops-and-some-have-since-fought-in-ukraine.html,https://www.theatlantic.com/podcasts/2026/05/david-frum-show-phillis-obrien-iran-war-china/687234/,https://www.bbc.com/news/videos/clypmgl80z7o,0.7,High
South Korea,23,35,"{'war': 2, 'border': 1, 'nuclear': 1}",The 10 countries with the highest birth rates — and the 10 with the lowest,Memory makers brace for hydrogen fluoride pricing shock as Hormuz blockade impacts supply chain — key etching and cleaning material faces sharp cost increase amid trade disruption,Criticism over treatment of flotilla activists in video,Samsung reaches 11th-hour deal with union to avoid chip strike,UK and Gulf strike historic multi-billion-pound trade deal,Business Insider,Tom's Hardware UK,RTE,https://www.businessinsider.com/countries-birth-rates-ranked,https://www.tomshardware.com/tech-industry/memory-makers-brace-for-hydrogen-fluoride-pricing-shock-as-hormuz-blockade-impacts-supply-chain-key-etching-and-cleaning-material-faces-sharp-cost-increase-amid-trade-disruption,https://www.rte.ie/news/2026/0520/1574394-flotilla-activists-video/,0.3181818181818182,Medium
United States,25,45,"{'military': 1, 'war': 3, 'sanctions': 1}",What's happening between U.S. and Cuba? Here's a timeline of recent tensions,"House passes revised bipartisan housing legislation, sending it to the Senate","Bradley Foundation President And Prize Winners Talk Faith, Family And Freedom","Child death rates in the United States have increased, study finds","Okta (OKTA) Could Raise Its Fiscal 2027 Guidance Amid Improved Demand And Execution, Says Barclays",PBS,Washington Examiner,The Daily Caller,https://www.pbs.org/newshour/world/whats-happening-between-u-s-and-cuba-heres-a-timeline-of-recent-tensions,https://www.washingtonexaminer.com/news/house/4576623/house-passes-bipartisan-housing-legislation-senate/,https://dailycaller.com/2026/05/20/bradley-foundation-prize-phil-gramm-meir-soloveichik-james-hankins-richard-graber/,0.4090909090909091,Medium
India,25,40,{'war': 4},Gateway of India boats to go electric in phased shift,Hexaware Acquires Consulting Professionals Services to Strengthen AI and Cloud Transformation Capabilities,Hexaware Acquires Consulting Professionals Services to Strengthen AI and Cloud Transformation Capabilities,How to read postcolonial writing,"Bajaj General Insurance rolls out riders to lock premiums, expand health cover scope",The Times of India,PR Newswire UK,PRNewswire,https://timesofindia.indiatimes.com/city/mumbai/gateway-of-india-boats-to-go-electric-in-phased-shift/articleshow/131231879.cms,https://www.prnewswire.co.uk/news-releases/hexaware-acquires-consulting-professionals-services-to-strengthen-ai-and-cloud-transformation-capabilities-302778005.html,https://www.prnewswire.com/news-releases/hexaware-acquires-consulting-professionals-services-to-strengthen-ai-and-cloud-transformation-capabilities-302778003.html,0.36363636363636365,Medium
